Comorbid Condition,Concept ID,Concept Code,Concept Name,Vocabulary
Peripheral vascular disease,4316222,95443002,Venous intermittent claudication,SNOMED CT
Peripheral vascular disease,192673,82196007,Vascular insufficiency of intestine,SNOMED CT
Peripheral vascular disease,4134603,128321003,Vascular disorder of intestine,SNOMED CT
Peripheral vascular disease,312939,52403007,Thromboangiitis obliterans,SNOMED CT
Peripheral vascular disease,433222,195265003,"Thoracoabdominal aortic aneurysm, ruptured",SNOMED CT
Peripheral vascular disease,436996,233984007,Thoracoabdominal aortic aneurysm,SNOMED CT
Peripheral vascular disease,441051,74883004,Thoracic aortic aneurysm without rupture,SNOMED CT
Peripheral vascular disease,441875,195258006,Thoracic aortic aneurysm which has ruptured,SNOMED CT
Peripheral vascular disease,320646,12232008,Syphilitic aneurysm of aorta,SNOMED CT
Peripheral vascular disease,317305,68109007,Stricture of artery,SNOMED CT
Peripheral vascular disease,312343,73067008,Ruptured aortic aneurysm,SNOMED CT
Peripheral vascular disease,195559,14336007,Ruptured abdominal aortic aneurysm,SNOMED CT
Peripheral vascular disease,44782775,34881000119105,Peripheral vascular disease associated with another disorder,SNOMED CT
Peripheral vascular disease,321052,400047006,Peripheral vascular disease,SNOMED CT
Peripheral vascular disease,317309,399957001,Peripheral arterial occlusive disease,SNOMED CT
Peripheral vascular disease,36712807,12237231000119100,Pain at rest of right lower limb co-occurrent and due to atherosclerosis,SNOMED CT
Peripheral vascular disease,36712805,12237111000119100,Pain at rest of left lower limb co-occurrent and due to atherosclerosis,SNOMED CT
Peripheral vascular disease,4325344,428171009,Pain at rest due to peripheral vascular disease,SNOMED CT
Peripheral vascular disease,37312520,792854004,Ischemic foot ulcer due to atherosclerosis of artery of lower limb,SNOMED CT
Peripheral vascular disease,36712806,12237191000119100,Intermittent claudication of right lower limb co-occurrent and due to atherosclerosis,SNOMED CT
Peripheral vascular disease,36717286,12237071000119100,Intermittent claudication of left lower limb co-occurrent and due to atherosclerosis,SNOMED CT
Peripheral vascular disease,36717006,12236951000119100,Intermittent claudication of bilateral lower limbs co-occurrent and due to atherosclerosis,SNOMED CT
Peripheral vascular disease,37312529,792845002,Intermittent claudication due to atherosclerosis of artery of limb,SNOMED CT
Peripheral vascular disease,442774,63491006,Intermittent claudication,SNOMED CT
Peripheral vascular disease,321882,39823006,Generalized atherosclerosis,SNOMED CT
Peripheral vascular disease,36717279,15649901000119100,Gangrene of right lower limb due to atherosclerosis,SNOMED CT
Peripheral vascular disease,37312531,792843009,Gangrene of limb due to atherosclerosis of artery of limb,SNOMED CT
Peripheral vascular disease,36712963,15649991000119100,Gangrene of left lower limb due to atherosclerosis,SNOMED CT
Peripheral vascular disease,134380,37151006,Erythromelalgia,SNOMED CT
Peripheral vascular disease,432346,230730001,Dissection of vertebral artery,SNOMED CT
Peripheral vascular disease,37016882,713029000,Dissection of thoracoabdominal aorta,SNOMED CT
Peripheral vascular disease,436136,233994002,Dissection of thoracic aorta,SNOMED CT
Peripheral vascular disease,37016889,713036004,Dissection of renal artery,SNOMED CT
Peripheral vascular disease,201043,233999007,Dissection of iliac artery,SNOMED CT
Peripheral vascular disease,37109512,720626009,Dissection of carotid artery,SNOMED CT
Peripheral vascular disease,46272492,710864009,Dissection of artery,SNOMED CT
Peripheral vascular disease,320739,308546005,Dissection of aorta,SNOMED CT
Peripheral vascular disease,4256889,408666009,Dissection of abdominal aorta,SNOMED CT
Peripheral vascular disease,199064,111354009,Chronic vascular insufficiency of intestine,SNOMED CT
Peripheral vascular disease,44782819,698816006,Chronic occlusion of artery of extremity,SNOMED CT
Peripheral vascular disease,35611566,12236991000119100,Bilateral lower limb atherosclerosis pain at rest co-occurrent and due to atherosclerosis,SNOMED CT
Peripheral vascular disease,35615028,15649941000119100,Bilateral atherosclerosis of lower limbs with gangrene,SNOMED CT
Peripheral vascular disease,195834,45281005,Atherosclerosis of renal artery,SNOMED CT
Peripheral vascular disease,40484551,442701004,Atherosclerosis of nonautologous biological bypass graft of limb,SNOMED CT
